Description,type,patient,period,is_other_cell,is_CD4_T_cell,is_CD8_T_cell,is_B_cell,is_myeloid_cell,is_proinflammatory_factor,Response,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,RF,tpm,contactCount,atac_count,id
GSE14415_INDUCED_TREG_VS_FOXP3_KO_INDUCED_TREG_UP,ART_long,ART,long,1,0,0,0,0,1,2,0.0414201183431953,0.00805431983142121,0.000449248,0.026535997,0.02348488,8289/9466/23064/50852/84937/51176/51735,7,5.14259666987753,12.1603515525921,22.4792776244206,621,26
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_DN,ART_long,ART,long,1,1,0,0,0,0,1,0.0414201183431953,0.00931866073519082,0.001061934,0.031646459,0.028007739,23406/79956/3560/60468/9466/3716/7409,7,4.44485742321073,15.4429281931897,38.5882526440972,809,27
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP,ART_long,ART,long,1,0,0,0,0,0,2,0.0414201183431953,0.00927183329431047,0.001031324,0.031646459,0.028007739,7818/284001/59269/54878/64421/50852/23077,7,4.46730619807543,6.60158614321014,30.3034670194425,649,28
GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP,ART_long,ART,long,0,0,1,0,0,0,2,0.0355029585798817,0.0071177710138141,0.001345533,0.038692932,0.034244007,57690/9466/324/55870/50852/51176,6,4.98793210837745,7.39111361814217,20.2075539442181,480,29
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN,ART_long,ART,long,1,0,0,0,0,0,1,0.0414201183431953,0.00786701006789979,0.000390018,0.023353003,0.020667868,4215/146691/60468/50852/84937/23077/51735,7,5.26503944773176,8.24603224609397,21.3411274400182,584,30
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP,ART_long,ART,long,1,0,0,0,0,0,2,0.0532544378698225,0.00758604542261765,5.9e-06,0.002866495,0.002536905,4215/146691/60468/9466/50852/84937/51176/51735/9402,9,7.02005259697567,6.47373215428159,19.8564245918746,875,31
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP,ART_long,ART,long,1,0,0,0,1,0,2,0.0473372781065089,0.00931866073519082,0.000191731,0.012943026,0.011454832,79956/23048/5305/54878/976/10096/51735/1399,8,5.07983705509797,13.9602049867646,38.3880794156836,918,32
GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP,ART_long,ART,long,1,0,0,0,0,0,2,0.0532544378698225,0.00777335518613908,7.2e-06,0.003145152,0.002783521,57690/4215/146691/60468/9466/50852/84937/51176/51735,9,6.85089470307265,6.50766164478757,21.7368793040125,843,33
GSE15624_CTRL_VS_3H_HALOFUGINONE_TREATED_CD4_TCELL_UP,ART_long,ART,long,0,1,0,0,0,0,2,0.0355029585798817,0.00749239054085694,0.0017471,0.049912239,0.044173315,3655/8826/196/55193/117584/50852,6,4.73853550295858,6.56854524104266,19.9536729960819,526,34
GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_DN,ART_long,ART,long,0,0,0,0,1,1,1,0.0414201183431953,0.00936548817607118,0.001093254,0.031646459,0.028007739,23406/4795/8289/549/9466/9267/55683,7,4.42263313609467,16.0673070053337,25.2894150099466,485,35
GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP,ART_long,ART,long,0,0,0,0,1,1,2,0.0414201183431953,0.00936548817607118,0.001093254,0.031646459,0.028007739,22992/26207/10479/3560/23102/60468/3716,7,4.42263313609467,18.3439743184172,29.6182809760726,1091,36
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP,ART_long,ART,long,1,0,0,0,0,1,2,0.0473372781065089,0.00936548817607118,0.000198395,0.012943026,0.011454832,29035/4215/8832/9693/976/55870/9267/51735,8,5.05443786982248,29.1678152881513,22.6780513564174,611,37
